^yb1 ䷀乾:	Qian:
見惡人，以辟咎也。	'He meets with bad men (and communicates with them):' - (he does so), to avoid the evil of their condemnation.
3 ䷥睽:	Kui:
九二：遇主于巷，无咎。	The second NINE, undivided, shows its subject happening to meet with his lord in a bye-passage. There will be no error.
象傳:	Xiang Zhuan:
遇主于巷，未失道也。	'He happens to meet with his lord in a bye-passage:' - but he has not deviated (for this meeting) from the (proper) course.
4 ䷥睽:	Kui:
六三：見輿曳，其牛掣，其人天且劓，无初有終。	In the third SIX, divided, we see one whose carriage is dragged back, while the oxen in it are pushed back, and he is himself subjected to the shaving of his head and the cutting off of his nose. There is no good beginning, but there will be a good end.
象傳:	Xiang Zhuan:
見輿曳，位不當也。	'We see his carriage dragged back:' - this is indicated by the inappropriateness of the position (of the line). 
无初有終，遇剛也。	'There is no (good) beginning, but there will be a (good) end:' - this arises from his meeting with the strong (subject of the topmost line).
5 ䷥睽:	Kui:
九四：睽孤，遇元夫，交孚，	The fourth NINE, undivided, shows its subject solitary amidst the (prevailing) disunion. (But) he meets with the good man (represented by the first line), and they blend their sincere desires together. 
厲无咎。	The position is one of peril, but there will be no mistake.
象傳:	Xiang Zhuan:
交孚无咎，志行也。	'They blend their sincere desires together, and there will be no error:' - their (common) aim is carried into effect.
6 ䷥睽:	Kui:
六五：悔亡，	The fifth SIX, divided, shows that (to its subject) occasion for repentance will disappear. 
厥宗噬膚，往何咎。	With his relative (and minister he unites closely and readily) as if he were biting through a piece of skin. When he goes forward (with this help), what error can there be?
象傳:	Xiang Zhuan:
厥宗噬膚，往有慶也。	'With his hereditary minister (he unites closely and easily) as if he were biting through a piece of skin:' - his going forward will afford ground for congratulation.
7 ䷥睽:	Kui:
上九：睽孤，	The topmost NINE, undivided, shows its subject solitary amidst the (prevailing) disunion. 
見豕負塗，載鬼一車，	(In the subject of the third line, he seems to) see a pig bearing on its back a load of mud, (or fancies) there is a carriage full of ghosts. 
先張之弧，後說之弧，匪寇婚媾，	He first bends his bow against him, and afterwards unbends it, (for he discovers) that he is not an assailant to injure, but a near relative. 
往遇雨則吉。	Going forward, he shall meet with (genial) rain, and there will be good fortune.
象傳:	Xiang Zhuan:
遇雨之吉，群疑亡也。	'The good fortune symbolised by meeting with (genial) rain' springs from the passing away of all doubts.
^yb39 ䷦蹇:	Jian:
蹇：利西南，不利東北；利見大人，貞吉。	In (the state indicated by) Jian advantage will be found in the south-west, and the contrary in the north-east. It will be advantageous (also) to meet with the great man. (In these circumstances), with firmness and correctness, there will be good fortune.
彖傳:	Tuan Zhuan:
蹇，難也，險在前也。	Jian denotes difficulty. There is (the trigram expressive of) perilousness in front. 
見險而能止，知矣哉！	When one, seeing the peril, can arrest his steps (in accordance with the significance of the lower tri. gram), is he not wise?
蹇利西南，往得中也；	 (The language of) Jian, that 'advantage will be found in the south-west,' refers to the (strong fifth line) advanced and in the central place. 
不利東北，其道窮也。	That 'there will be no advantage in the north-east,' intimates that the way (of dealing with the Jian state) is exhausted. 
利見大人，往有功也。	That 'it will be advantageous to see the great man,' intimates that advance will lead to achievement. 
當位貞吉，以正邦也。	That the places (of the different lines after the first) are those appropriate to them indicates firm correctness and good fortune, with which the regions (of the kingdom) are brought to their normal state. 
蹇之時用大矣哉！	Great indeed is the work to be done in the time of Jian!
象傳:	Xiang Zhuan:
山上有水，蹇；	(The trigram representing) a mountain, and above it that for water, form Jian. 
君子以反身修德。	The superior man, in accordance with this, turns round (and examines) himself, and cultivates his virtue.
2 ䷦蹇:	Jian:
初六：往蹇，來譽。	From the first SIX, divided, we learn that advance (on the part of its subject) will lead to (greater) difficulties, while remaining stationary will afford ground for praise.
象傳:	Xiang Zhuan:
往蹇來譽，宜待也。	'Advancing will conduct to (greater) difficulties, while remaining stationary will afford ground for praise:' - the proper course is to wait.
3 ䷦蹇:	Jian:
六二：王臣蹇蹇，匪躬之故。	The second SIX, divided, shows the minister of the king struggling with difficulty on difficulty, and not with a view to his own advantage.
象傳:	Xiang Zhuan:
王臣蹇蹇，終无尤也。	'The minister of the king struggles with difficulty on difficulty:' - in the end no blame will be attached to him.
4 ䷦蹇:	Jian:
九三：往蹇來反。	The third NINE, undivided, shows its subject advancing, (but only) to (greater) difficulties. He remains stationary, and returns (to his former associates).
象傳:	Xiang Zhuan:
往蹇來反，內喜之也。	'He advances, (but only) to (greater) difficulty; he remains stationary, and returns to his former associates:' - they, (represented in) the inner (trigram), rejoice in him.
5 ䷦蹇:	Jian:
六四：往蹇來連。	The fourth SIX, divided, shows its subject advancing, (but only) to (greater) difficulties. He remains stationary, and unites (with the subject of the line above).
象傳:	Xiang Zhuan:
往蹇來連，當位實也。	'To advance will (only be to) encounter (greater) difficulties; he remains stationary, and unites (with the subject of the line above):' - that is in its proper place and has the solidity (due to it in that position).
6 ䷦蹇:	Jian:
九五：大蹇朋來。	The fifth NINE, undivided, shows its subject struggling with the greatest difficulties, while friends are coming to help him.
象傳:	Xiang Zhuan:
大蹇朋來，以中節也。	'He struggles with the greatest difficulties, while friends are coming (to help him):' - he is in the central position, and possesses the requisite virtue.
7 ䷦蹇:	Jian:
上六：往蹇來碩，吉；	The topmost SIX, divided, shows its subject going forward, (only to increase) the difficulties, while his remaining stationary will be (productive of) great (merit). 
利見大人。	There will be good fortune, and it will be advantageous to meet with the great man.
象傳:	Xiang Zhuan:
往蹇來碩，志在內也。	'To advance will (only) increase the difficulties, while his remaining stationary will (be productive of) great (merit):' - his aim is to assist the (subject of the line) inside of him. 
利見大人，以從貴也。	'It will be advantageous to meet the great man:' - by his course he follows that noble (lord of the figure).
^yb40 ䷧解:	Jie:
解：利西南，无所往，其來復吉。	In (the state indicated by) Jie advantage will be found in the south-west. If no (further) operations be called for, there will be good fortune in coming back (to the old conditions). 
有攸往，夙吉。	If some operations be called for, there will be good fortune in the early conducting of them.
彖傳:	Tuan Zhuan:
解，險以動，動而免乎險，解。	In Jie we have (the trigram expressive of) peril going on to that expressive of movement. By movement there is an escape from the peril: - (this is the meaning of) Jie. 
解利西南，往得眾也。	'In (the state indicated by) Jie, advantage will be found in the south-west:' - the movement (thus) intimated will win all. 
其來復吉，乃得中也。	That 'there will be good fortune in coming back (to the old conditions)' shows that such action is that of the due medium. 
有攸往夙吉，往有功也。	That 'if some operations be necessary, there will be good fortune in the early conducting of them' shows that such operations will be successful. 
天地解，而雷雨作，雷雨作，	When heaven and earth are freed (from the grasp of winter), we have thunder and rain. 
而百果草木皆甲坼，	When these come, the buds of the plants and trees that produce the various fruits begin to burst. 
解之時大矣哉！	Great indeed are the phenomena in the time intimated by Jie.
